,Name,Year,Salary
2,Peyton Manning,2000,11066000
28299,Jake Plummer,2000,3030000
26124,John Randle,2000,5000000
26111,Levon Kirkland,2000,4525000
28316,Shannon Sharpe,2000,5000000
28323,Trevor Pryce,2000,762750
26092,Alan Faneca,2000,875000
23817,Donovan McNabb,2000,525000
23776,Ray Lewis,2000,4750000
26139,Troy Aikman,2000,2250000
28339,Steve McNair,2000,5011750
23642,Brett Favre,2000,5350000
13104,John Abraham,2000,2740000
12880,Charles Woodson,2000,1975000
11100,Matt Hasselbeck,2000,2550000
598,Randy Moss,2000,881000
29910,Marvin Harrison,2000,11940000
10959,Phil Dawson,2000,275000
29929,Jerome Bettis,2000,3200000
23760,Mark Brunell,2000,5900000
26160,Emmitt Smith,2000,4650000
28278,Courtney Brown,2000,11073250
26170,Warren Sapp,2000,4900000
26352,Chad Pennington,2000,4324010
26398,Rod Smith,2000,1800000
26342,Orlando Pace,2000,2100000
26332,John Lynch,2000,7600000
28194,Kurt Warner,2000,11858000
26320,Jerry Rice,2000,3750000
26297,Shaun Alexander,2000,4068000
26294,Tony Boselli,2000,2115500
28229,Junior Seau,2000,3840000
26282,Curtis Martin,2000,4358900
26258,Ty Law,2000,1917647
26243,Kevin Mawae,2000,3000000
28253,Deion Sanders,2000,8500000
28257,Tim Couch,2000,275000
26215,Walter Jones,2000,3844438
26204,Jonathan Ogden,2000,16500000
26198,Terrell Davis,2000,1300000
28271,Drew Bledsoe,2000,6340000
26185,Michael Strahan,2000,4600000
10553,Tony Gonzalez,2000,830000
29941,Marshall Faulk,2000,2050000
26388,Ed McCaffrey,2000,700000
7837,London Fletcher,2000,398000
6975,Sebastian Janikowski,2000,2535000
31124,Jason Elam,2000,800000
29954,Rob Johnson,2000,4250000
45,Champ Bailey,2000,801000
3053,Adam Vinatieri,2000,575000
31108,Tom Nalen,2000,600000
7568,Shane Lechler,2000,264000
6786,Tom Brady,2000,231500
28300,Jake Plummer,2001,4037500
28230,Junior Seau,2001,6500000
28317,Shannon Sharpe,2001,2000000
26093,Alan Faneca,2001,1310000
26283,Curtis Martin,2001,5364800
29955,Rob Johnson,2001,4000000
23818,Donovan McNabb,2001,639000
4290,Michael Vick,2001,5000000
23777,Ray Lewis,2001,4750000
6098,Ryan Pickett,2001,2719000
26295,Tony Boselli,2001,3500000
28324,Trevor Pryce,2001,11050000
26112,Levon Kirkland,2001,3700000
987,Roberto Garza,2001,539000
26125,John Randle,2001,6500000
31125,Jason Elam,2001,950000
28258,Tim Couch,2001,9139000
26205,Jonathan Ogden,2001,500000
26199,Terrell Davis,2001,3000000
26244,Kevin Mawae,2001,2800000
6433,Steve Smith,2001,709000
6976,Sebastian Janikowski,2001,637500
28272,Drew Bledsoe,2001,11400000
26171,Warren Sapp,2001,4200000
6787,Tom Brady,2001,328000
28279,Courtney Brown,2001,1325000
26259,Ty Law,2001,3250000
26161,Emmitt Smith,2001,5850000
31109,Tom Nalen,2001,1500000
26186,Michael Strahan,2001,7000000
28340,Steve McNair,2001,10500000
7569,Shane Lechler,2001,298000
23761,Mark Brunell,2001,8500000
26333,John Lynch,2001,1650000
29911,Marvin Harrison,2001,500000
10960,Phil Dawson,2001,389000
8122,Drew Brees,2001,2165000
3054,Adam Vinatieri,2001,650000
26343,Orlando Pace,2001,2200000
686,Justin Smith,2001,10500000
26399,Rod Smith,2001,2800000
29930,Jerome Bettis,2001,6840000
10554,Tony Gonzalez,2001,945000
3,Peyton Manning,2001,4452000
26389,Ed McCaffrey,2001,2000000
10011,Richard Seymour,2001,6000000
26353,Chad Pennington,2001,298000
29942,Marshall Faulk,2001,3050000
599,Randy Moss,2001,10610000
7916,Santana Moss,2001,3982854
26216,Walter Jones,2001,1155500
23643,Brett Favre,2001,15477000
11101,Matt Hasselbeck,2001,1600000
26321,Jerry Rice,2001,1500000
26298,Shaun Alexander,2001,498000
23678,LaDainian Tomlinson,2001,7000000
3284,Reggie Wayne,2001,2900000
13105,John Abraham,2001,925000
7838,London Fletcher,2001,1115000
12881,Charles Woodson,2001,2762500
28195,Kurt Warner,2001,1142000
46,Champ Bailey,2001,1235000
5503,Josh McCown,2002,708000
26284,Curtis Martin,2002,13500000
26322,Jerry Rice,2002,1900000
3821,Ed Reed,2002,4000000
5759,Shaun Hill,2002,240000
26299,Shaun Alexander,2002,575000
4728,James Harrison,2002,26471
26344,Orlando Pace,2002,2400000
26245,Kevin Mawae,2002,9125068
4596,Matt Bryant,2002,225000
4291,Michael Vick,2002,9000000
26260,Ty Law,2002,4800000
26334,John Lynch,2002,1750000
26296,Tony Boselli,2002,7160000
3055,Adam Vinatieri,2002,2800000
3285,Reggie Wayne,2002,625000
26268,Clinton Portis,2002,1515000
874,Julius Peppers,2002,9864706
26206,Jonathan Ogden,2002,5000000
12882,Charles Woodson,2002,2450000
12830,Dwight Freeney,2002,3944000
11102,Matt Hasselbeck,2002,5000000
7839,London Fletcher,2002,4525000
600,Randy Moss,2002,8622125
10961,Phil Dawson,2002,1325000
7917,Santana Moss,2002,1854666
10787,David Carr,2002,11960000
673,Jonathan Goodwin,2002,336750
687,Justin Smith,2002,2430000
10555,Tony Gonzalez,2002,6750000
8123,Drew Brees,2002,400000
8756,Brett Keisel,2002,252750
10012,Richard Seymour,2002,4020000
988,Roberto Garza,2002,300000
13106,John Abraham,2002,1110000
26217,Walter Jones,2002,4341176
23644,Brett Favre,2002,2150000
23743,Albert Haynesworth,2002,4328343
6099,Ryan Pickett,2002,630000
26187,Michael Strahan,2002,11498000
6434,Steve Smith,2002,282353
26172,Warren Sapp,2002,5250000
26162,Emmitt Smith,2002,6000000
6788,Tom Brady,2002,3875000
26126,John Randle,2002,3500000
26113,Levon Kirkland,2002,750000
6977,Sebastian Janikowski,2002,1322000
26094,Alan Faneca,2002,6525000
23819,Donovan McNabb,2002,15388235
23790,Daniel Graham,2002,2225000
23778,Ray Lewis,2002,10525000
7570,Shane Lechler,2002,1375000
26354,Chad Pennington,2002,2343990
23679,LaDainian Tomlinson,2002,1750000
23762,Mark Brunell,2002,6250000
8964,Ryan Clark,2002,40000
28301,Jake Plummer,2002,5737500
28364,Javon Walker,2002,3545000
28273,Drew Bledsoe,2002,5000000
47,Champ Bailey,2002,1669000
29943,Marshall Faulk,2002,11595000
28196,Kurt Warner,2002,2700000
28231,Junior Seau,2002,7000000
28318,Shannon Sharpe,2002,1550000
31110,Tom Nalen,2002,2700000
28325,Trevor Pryce,2002,1100000
28341,Steve McNair,2002,8000000
4,Peyton Manning,2002,6298000
26400,Rod Smith,2002,11659000
28259,Tim Couch,2002,4400000
29931,Jerome Bettis,2002,2490000
31126,Jason Elam,2002,1465402
28280,Courtney Brown,2002,1580000
26390,Ed McCaffrey,2002,3150000
29912,Marvin Harrison,2002,3000000
29956,Rob Johnson,2002,675000
3143,Cory Redding,2003,768500
23744,Albert Haynesworth,2003,2225416
26173,Warren Sapp,2003,6600000
6978,Sebastian Janikowski,2003,450000
7918,Santana Moss,2003,614000
28274,Drew Bledsoe,2003,5500000
23645,Brett Favre,2003,5900000
8425,Chris Clemons,2003,137000
4597,Matt Bryant,2003,300000
3822,Ed Reed,2003,443750
757,Charles Tillman,2003,2354000
10962,Phil Dawson,2003,530000
26188,Michael Strahan,2003,9100000
26218,Walter Jones,2003,5904000
4430,Asante Samuel,2003,562500
3056,Adam Vinatieri,2003,1400000
5,Peyton Manning,2003,11324000
906,Osi Umenyiora,2003,1390000
9015,Andre Johnson,2003,10000000
23680,LaDainian Tomlinson,2003,1500000
9998,Kevin Williams,2003,4778000
28260,Tim Couch,2003,6200000
26207,Jonathan Ogden,2003,5180000
29957,Rob Johnson,2003,211765
29913,Marvin Harrison,2003,4500000
28281,Courtney Brown,2003,4700000
23791,Daniel Graham,2003,3075000
894,Lance Briggs,2003,915000
7349,Anquan Boldin,2003,1435000
23801,Jimmy Kennedy,2003,2144000
8965,Ryan Clark,2003,300000
23779,Ray Lewis,2003,9975000
7571,Shane Lechler,2003,450000
28326,Trevor Pryce,2003,4800000
23820,Donovan McNabb,2003,4000000
29932,Jerome Bettis,2003,2990000
989,Roberto Garza,2003,389000
3556,Jason Witten,2003,895000
11103,Matt Hasselbeck,2003,5500000
7621,Terrell Suggs,2003,4150000
26163,Emmitt Smith,2003,5000000
23763,Mark Brunell,2003,6750000
875,Julius Peppers,2003,4550000
28342,Steve McNair,2003,5250000
28319,Shannon Sharpe,2003,755000
26095,Alan Faneca,2003,2800000
8848,Ike Taylor,2003,500500
3286,Reggie Wayne,2003,750000
48,Champ Bailey,2003,2103000
7840,London Fletcher,2003,1600000
10556,Tony Gonzalez,2003,4950000
28302,Jake Plummer,2003,7534800
6789,Tom Brady,2003,9125000
8987,Troy Polamalu,2003,2174000
26127,John Randle,2003,3000000
4292,Michael Vick,2003,3400000
3307,Robert Mathis,2003,351750
26246,Kevin Mawae,2003,3500000
601,Randy Moss,2003,5083964
31111,Tom Nalen,2003,3200000
2616,Jarret Johnson,2003,537000
11512,Calvin Pace,2003,3675000
8757,Brett Keisel,2003,145000
26285,Curtis Martin,2003,4175700
28365,Javon Walker,2003,1600000
9356,Wade Smith,2003,837500
26345,Orlando Pace,2003,5734000
26391,Ed McCaffrey,2003,3500000
2524,Antonio Gates,2003,232000
26401,Rod Smith,2003,662800
6435,Steve Smith,2003,389000
6100,Ryan Pickett,2003,756000
952,Tony Romo,2003,235000
28197,Kurt Warner,2003,11400000
26300,Shaun Alexander,2003,650000
2256,Terence Newman,2003,7612000
5504,Josh McCown,2003,300000
12883,Charles Woodson,2003,3087500
6347,Jordan Gross,2003,5896500
8207,Jon Dorenbos,2003,228000
26323,Jerry Rice,2003,2250000
5719,Nate Burleson,2003,754000
2241,Carson Palmer,2003,11080000
13107,John Abraham,2003,1645000
11261,Nnamdi Asomugha,2003,3575000
5760,Shaun Hill,2003,300000
31127,Jason Elam,2003,3430000
674,Jonathan Goodwin,2003,300000
26355,Chad Pennington,2003,5250000
10788,David Carr,2003,3630000
29944,Marshall Faulk,2003,655000
26261,Ty Law,2003,6600000
688,Justin Smith,2003,1330000
12831,Dwight Freeney,2003,3325000
10013,Richard Seymour,2003,980000
8124,Drew Brees,2003,1980000
26269,Clinton Portis,2003,300000
28232,Junior Seau,2003,4050000
29880,Jason Wright,2004,40588
3823,Ed Reed,2004,512500
6101,Ryan Pickett,2004,882000
23792,Daniel Graham,2004,450000
31128,Jason Elam,2004,760000
28343,Steve McNair,2004,6750010
5761,Shaun Hill,2004,380000
29945,Marshall Faulk,2004,6000000
11513,Calvin Pace,2004,2405000
5505,Josh McCown,2004,380000
7298,Steven Jackson,2004,2710000
23780,Ray Lewis,2004,4000000
5720,Nate Burleson,2004,305000
4099,Dwan Edwards,2004,1470000
23764,Mark Brunell,2004,9360000
9775,Jared Allen,2004,512500
4224,Jason Peters,2004,108235
9357,Wade Smith,2004,305000
12884,Charles Woodson,2004,8781000
9279,Matt Schaub,2004,675000
11161,Luke McCown,2004,780000
23681,LaDainian Tomlinson,2004,16000000
13649,Daryl Smith,2004,2102000
11247,DeAngelo Hall,2004,3650000
4759,Chris Snee,2004,2655000
758,Charles Tillman,2004,373750
14000,Kellen Winslow,2004,6950000
9028,Antonio Smith,2004,40588
11229,D.J. Williams,2004,3400000
10557,Tony Gonzalez,2004,2400000
9016,Andre Johnson,2004,5005000
4729,James Harrison,2004,230000
23646,Brett Favre,2004,8500000
31112,Tom Nalen,2004,3800000
6790,Tom Brady,2004,5500000
4431,Asante Samuel,2004,340000
12832,Dwight Freeney,2004,591000
4812,Eli Manning,2004,4744000
13108,John Abraham,2004,1480000
7281,Scott Wells,2004,189412
5299,Robert Geathers,2004,531000
11302,Tommy Kelly,2004,240000
953,Tony Romo,2004,305000
4698,Tyson Clabo,2004,27059
6348,Jordan Gross,2004,5833500
4293,Michael Vick,2004,12500000
5107,Jason Babin,2004,2806003
10594,Wes Welker,2004,230000
23745,Albert Haynesworth,2004,500000
6436,Steve Smith,2004,8600000
8988,Troy Polamalu,2004,4455000
907,Osi Umenyiora,2004,305000
6979,Sebastian Janikowski,2004,2511000
28366,Javon Walker,2004,390000
11262,Nnamdi Asomugha,2004,465000
2146,Dunta Robinson,2004,5032500
7572,Shane Lechler,2004,550000
895,Lance Briggs,2004,305000
2525,Antonio Gates,2004,305000
10014,Richard Seymour,2004,960000
2617,Jarret Johnson,2004,305000
8125,Drew Brees,2004,2060000
26270,Clinton Portis,2004,13380000
10450,Isaac Sopoaga,2004,573000
26262,Ty Law,2004,7000000
28233,Junior Seau,2004,3000000
689,Justin Smith,2004,1580000
26286,Curtis Martin,2004,2800000
2687,Malcom Floyd,2004,54118
2728,Nick Hardwick,2004,790000
26247,Kevin Mawae,2004,800000
29933,Jerome Bettis,2004,1400000
2739,Philip Rivers,2004,8955000
8068,Ben Watson,2004,3200000
8758,Brett Keisel,2004,380000
26219,Walter Jones,2004,7084800
28254,Deion Sanders,2004,1500000
7919,Santana Moss,2004,455000
602,Randy Moss,2004,5820804
9999,Kevin Williams,2004,4305000
8152,Jabari Greer,2004,235000
8197,Will Smith,2004,3050000
10188,Vince Wilfork,2004,3650000
675,Jonathan Goodwin,2004,380000
26356,Chad Pennington,2004,19000000
2227,Karlos Dansby,2004,2330000
29914,Marvin Harrison,2004,10559765
2242,Carson Palmer,2004,3420000
10789,David Carr,2004,660000
26346,Orlando Pace,2004,7021000
8426,Chris Clemons,2004,81176
2396,Larry Fitzgerald,2004,11250000
26335,John Lynch,2004,3260000
26324,Jerry Rice,2004,873529
2257,Terence Newman,2004,6805417
8208,Jon Dorenbos,2004,285442
2304,Darnell Dockett,2004,800000
26301,Shaun Alexander,2004,3450000
235,Mike Adams,2004,108235
10818,Cullen Jenkins,2004,230000
8738,Ben Roethlisberger,2004,2002000
28198,Kurt Warner,2004,3000000
26402,Rod Smith,2004,2756500
26208,Jonathan Ogden,2004,10660000
990,Roberto Garza,2004,628000
6,Peyton Manning,2004,35035000
