,Name,Year,Salary
1419,Adam Vinatieri,2000,"$575,000"
699,Phil Dawson,2000,"$275,000"
1796,Drew Brees,2001,"$2,165,000"
1420,Adam Vinatieri,2001,"$650,000"
700,Phil Dawson,2001,"$389,000"
1421,Adam Vinatieri,2002,"$2,549,999"
1797,Drew Brees,2002,"$400,000"
734,Julius Peppers,2002,"$10,100,000"
701,Phil Dawson,2002,"$1,325,000"
1422,Adam Vinatieri,2003,"$1,650,000"
1125,Terrell Suggs,2003,"$3,100,000"
702,Phil Dawson,2003,"$530,000"
1798,Drew Brees,2003,"$980,000"
2877,Jason Witten,2003,"$895,000"
735,Julius Peppers,2003,"$5,300,000"
1126,Terrell Suggs,2004,"$4,555,000"
1423,Adam Vinatieri,2004,"$1,425,000"
1799,Drew Brees,2004,"$1,560,000"
736,Julius Peppers,2004,"$1,500,000"
2798,Matt Schaub,2004,"$675,000"
2878,Jason Witten,2004,"$305,000"
2348,Larry Fitzgerald,2004,"$8,550,000"
2574,Mike Adams,2004,"$149,885"
703,Phil Dawson,2004,"$600,000"
2250,Ben Roethlisberger,2004,"$2,285,500"
1127,Terrell Suggs,2005,"$380,000"
2799,Matt Schaub,2005,"$305,000"
1019,Darren Sproles,2005,"$622,000"
2251,Ben Roethlisberger,2005,"$9,910,250"
2575,Mike Adams,2005,"$305,000"
1424,Adam Vinatieri,2005,"$2,759,000"
704,Phil Dawson,2005,"$700,000"
2349,Larry Fitzgerald,2005,"$5,335,000"
1369,Adam-Pacman Jones,2005,"$3,800,010"
737,Julius Peppers,2005,"$10,525,000"
2879,Jason Witten,2005,"$380,000"
2139,Dustin Colquitt,2005,"$650,000"
1800,Drew Brees,2005,"$8,078,000"
2005,Sam Koch,2006,"$329,490"
295,Kellen Clemens,2006,"$1,885,000"
1093,Marcedes Lewis,2006,"$990,000"
2081,Donald Penn,2006,"$275,000"
2880,Jason Witten,2006,"$6,500,000"
1020,Darren Sproles,2006,"$195,000"
2800,Matt Schaub,2006,"$425,000"
1128,Terrell Suggs,2006,"$500,000"
2576,Mike Adams,2006,"$425,000"
1425,Adam Vinatieri,2006,"$4,480,000"
705,Phil Dawson,2006,"$1,750,000"
1370,Adam-Pacman Jones,2006,"$7,972,500"
738,Julius Peppers,2006,"$13,300,000"
835,Elvis Dumervil,2006,"$674,000"
1801,Drew Brees,2006,"$22,000,000"
2140,Dustin Colquitt,2006,"$350,000"
2616,Antoine Bethea,2006,"$344,000"
2350,Larry Fitzgerald,2006,"$3,317,500"
2252,Ben Roethlisberger,2006,"$2,998,250"
706,Phil Dawson,2007,"$1,000,000"
1802,Drew Brees,2007,"$3,000,000"
2141,Dustin Colquitt,2007,"$435,000"
318,Matt Moore,2007,"$15,000"
317,Matt Moore,2007,"$285,000"
2617,Antoine Bethea,2007,"$360,000"
296,Kellen Clemens,2007,"$360,000"
2306,Paul Posluszny,2007,"$1,868,000"
2881,Jason Witten,2007,"$6,595,000"
2857,Corey Graham,2007,"$434,500"
2006,Sam Koch,2007,"$360,000"
2351,Larry Fitzgerald,2007,"$3,580,000"
2082,Donald Penn,2007,"$360,000"
1129,Terrell Suggs,2007,"$5,000,000"
2253,Ben Roethlisberger,2007,"$1,579,500"
1021,Darren Sproles,2007,"$385,000"
836,Elvis Dumervil,2007,"$360,000"
2801,Matt Schaub,2007,"$8,000,000"
1242,Justin Durant,2007,"$1,587,000"
1094,Marcedes Lewis,2007,"$4,470,000"
1426,Adam Vinatieri,2007,"$1,370,000"
739,Julius Peppers,2007,"$9,185,000"
2577,Mike Adams,2007,"$610,000"
1114,Connor Barth,2008,"$6,000"
2618,Antoine Bethea,2008,"$445,000"
1574,Orlando Scandrick,2008,"$480,000"
1022,Darren Sproles,2008,"$1,100,000"
2858,Corey Graham,2008,"$370,000"
816,Breno Giacomini,2008,"$474,165"
2352,Larry Fitzgerald,2008,"$17,100,000"
1130,Terrell Suggs,2008,"$8,475,000"
1427,Adam Vinatieri,2008,"$1,650,000"
2179,Danny Woodhead,2008,"$202,000"
2882,Jason Witten,2008,"$1,905,000"
2007,Sam Koch,2008,"$445,000"
2578,Mike Adams,2008,"$605,000"
2802,Matt Schaub,2008,"$5,000,000"
855,Matt Forte,2008,"$2,356,500"
2020,Josh Sitton,2008,"$679,000"
740,Julius Peppers,2008,"$9,235,000"
2254,Ben Roethlisberger,2008,"$27,700,000"
1621,William Hayes,2008,"$793,300"
2083,Donald Penn,2008,"$445,000"
1357,Brett Kern,2008,"$310,000"
1371,Adam-Pacman Jones,2008,"$1,742,500"
297,Kellen Clemens,2008,"$445,000"
2748,Tyvon Branch,2008,"$810,825"
1803,Drew Brees,2008,"$5,000,000"
80,Harry Douglas,2008,"$999,050"
1517,Jerrell Freeman,2008,"$5,000"
681,Quintin Demps,2008,"$750,000"
1525,Jamaal Charles,2008,"$895,000"
1115,Connor Barth,2008,"$242,941"
2142,Dustin Colquitt,2008,"$3,100,000"
837,Elvis Dumervil,2008,"$445,000"
1095,Marcedes Lewis,2008,"$607,500"
319,Matt Moore,2008,"$370,000"
2307,Paul Posluszny,2008,"$550,000"
707,Phil Dawson,2008,"$1,150,000"
1477,Wesley Woodyard,2008,"$315,000"
1733,Aqib Talib,2008,"$4,895,000"
2021,Josh Sitton,2009,"$385,000"
298,Kellen Clemens,2009,"$535,000"
2308,Paul Posluszny,2009,"$650,000"
81,Harry Douglas,2009,"$385,000"
1076,Patrick Chung,2009,"$2,385,000"
1804,Drew Brees,2009,"$12,989,500"
1358,Brett Kern,2009,"$385,000"
1116,Connor Barth,2009,"$385,000"
1096,Marcedes Lewis,2009,"$560,000"
708,Phil Dawson,2009,"$1,150,000"
1372,Adam-Pacman Jones,2009,"$545,000"
1734,Aqib Talib,2009,"$1,181,250"
2008,Sam Koch,2009,"$1,545,000"
2619,Antoine Bethea,2009,"$535,000"
2859,Corey Graham,2009,"$460,000"
2749,Tyvon Branch,2009,"$385,000"
2803,Matt Schaub,2009,"$16,950,000"
320,Matt Moore,2009,"$460,000"
741,Julius Peppers,2009,"$16,683,000"
1131,Terrell Suggs,2009,"$15,100,000"
2181,Danny Woodhead,2009,"$88,400"
2353,Larry Fitzgerald,2009,"$9,750,000"
2883,Jason Witten,2009,"$2,500,000"
2180,Danny Woodhead,2009,"$271,764"
1556,Steve McLendon,2009,"$1,000"
991,Jason McCourty,2009,"$399,818"
682,Quintin Demps,2009,"$385,000"
1555,Steve McLendon,2009,"$176,800"
1023,Darren Sproles,2009,"$6,621,000"
1243,Justin Durant,2009,"$460,000"
2606,Brian Hoyer,2009,"$322,500"
856,Matt Forte,2009,"$385,000"
2579,Mike Adams,2009,"$2,670,000"
1526,Jamaal Charles,2009,"$385,000"
1554,Steve McLendon,2009,"$310,000"
1575,Orlando Scandrick,2009,"$385,000"
2143,Dustin Colquitt,2009,"$900,000"
