playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Jeremy Clark,21939,2017,jets,"$348,000","$148,413",-,-,-,-,-,"$496,413"
Jeremy Clark,21939,2018,jets,"$555,000",-,-,-,-,-,-,"$555,000"
Jeremy Clark,21939,2019,jets,"$645,000",-,-,-,-,-,-,"$645,000"
Jeremy Clark,21939,2020,jets,"$735,000",-,-,-,-,-,-,"$735,000"
Darius Jennings,17441,2015,browns,"$51,176",-,-,-,-,-,-,"$51,176"
Darius Jennings,17441,2015,browns,"$79,200",-,-,-,-,-,-,"$79,200"
Darius Jennings,17441,2015,browns,"$51,176",-,-,-,-,-,-,"$51,176"
Darius Jennings,17441,2016,browns,"$27,600",-,-,-,-,-,-,"$27,600"
Darius Jennings,17441,2016,bears,"$6,900",-,-,-,-,-,-,"$6,900"
Darius Jennings,17441,2016,jets,"$27,600",-,-,-,-,-,-,"$27,600"
Darius Jennings,17441,2017,tennessee,"$476,475",-,-,-,-,-,-,"$476,475"
Darius Jennings,17441,2017,tennessee,"$14,400",-,-,-,-,-,-,"$14,400"
Bradley McDougald,12835,2013,kansascity,"$160,941",-,-,-,-,-,-,"$160,941"
Bradley McDougald,12835,2013,bucs,"$190,588",-,-,-,-,-,-,"$190,588"
Bradley McDougald,12835,2013,kansascity,-,"$7,500",-,-,-,-,-,"$7,500"
Bradley McDougald,12835,2014,bucs,"$495,000",-,-,-,-,-,-,"$495,000"
Bradley McDougald,12835,2015,bucs,"$585,000",-,-,-,-,-,"$222,054","$807,054"
Bradley McDougald,12835,2016,bucs,"$2,553,000",-,-,-,-,-,-,"$2,553,000"
Bradley McDougald,12835,2017,hawks3,"$800,000","$750,000","$250,000",-,-,-,"$200,000","$2,000,000"
Andrew Jelks,22510,2017,patriots,"$465,000",-,-,-,-,-,-,"$465,000"
Andrew Jelks,22510,2018,patriots,"$555,000",-,-,-,-,-,-,"$555,000"
Andrew Jelks,22510,2019,patriots,"$645,000",-,-,-,-,-,-,"$645,000"
Chris Culliver,7799,2011,49erslogo,"$375,000","$598,876",-,-,-,-,-,"$973,876"
Chris Culliver,7799,2012,49erslogo,"$465,000",-,-,-,-,-,-,"$465,000"
Chris Culliver,7799,2013,49erslogo,"$555,000",-,-,-,-,-,-,"$555,000"
Chris Culliver,7799,2014,49erslogo,"$1,431,000",-,-,-,-,-,-,"$1,431,000"
Chris Culliver,7799,2015,washington,"$2,823,529","$5,000,000",-,-,-,-,"$10,419","$7,833,948"
Chris Culliver,7799,2016,dolphins,"$798,117","$75,000",-,-,-,-,-,"$873,117"
Chris Culliver,7799,2017,colts,"$775,000",-,-,-,-,-,-,"$775,000"
Keith Towbridge,22105,2017,buffalo,"$465,000",-,-,-,-,-,-,"$465,000"
Keith Towbridge,22105,2018,buffalo,"$555,000",-,-,-,-,-,-,"$555,000"
Keith Towbridge,22105,2019,buffalo,"$645,000",-,-,-,-,-,-,"$645,000"
Matt Godin,22188,2017,texans,"$348,000","$8,000",-,-,-,-,-,"$356,000"
Matt Godin,22188,2018,texans,"$555,000",-,-,-,-,-,-,"$555,000"
Matt Godin,22188,2019,texans,"$645,000",-,-,-,-,-,-,"$645,000"
