SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1918,benedcl01,Clint Benedict,25,OTS,NHL,22,,9,13,0,114,,,,5.11,1,3.7,1337,,,,,,0,0,0,0
1918,brookar01,Art Brooks,28,TRA,NHL,4,,2,2,0,23,,,,6.27,0,0.4,220,,,,,,0,0,0,0
1918,hebersa01,Sammy Hebert,23,TRA,NHL,2,,1,0,0,10,,,,7.5,0,0,80,,,,,,0,0,0,0
1918,holmeha01,Hap Holmes,29,TRA,NHL,16,,9,7,0,76,,,,4.73,0,3.1,965,,,,,,0,0,0,0
1918,lindsbe01,Bert Lindsay,36,MTW,NHL,4,,1,3,0,35,,,,8.75,0,-0.2,240,,,,,,0,0,0,0
1918,vezinge01,Georges Vezina,31,MTL,NHL,21,,12,9,0,84,,,,3.93,1,5.1,1282,,,,,,0,0,0,0
1919,benedcl01,Clint Benedict,26,OTS,NHL,18,,12,6,0,53,,,,2.85,2,4.5,1114,,,,,,0,0,0,3
1919,cleghsp01,Sprague Cleghorn,28,OTS,NHL,1,,0,0,0,0,,,,0,0,0,3,,,,,,7,8,15,27
1919,holmeha01,Hap Holmes,30,TRA,NHL,2,,0,2,0,9,,,,4.5,0,0.3,120,,,,,,0,0,0,0
1919,lindsbe01,Bert Lindsay,37,TRA,NHL,16,,5,11,0,83,,,,5.09,0,1.5,978,,,,,,0,0,0,0
1919,vezinge01,Georges Vezina,32,MTL,NHL,18,,10,8,0,78,,,,4.27,1,2.7,1097,,,,,,0,1,1,0
1920,benedcl01,Clint Benedict,27,OTS,NHL,24,,19,5,0,64,,,,2.66,5,7.6,1443,,,,,,0,0,0,2
1920,brophfr01,Frank Brophy,19,QBC,NHL,21,,3,18,0,148,,,,7.11,0,1.1,1249,,,,,,0,0,0,0
1920,darraja01,Jack Darragh,29,OTS,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,23,14,37,22
1920,forbeja01,Jake Forbes,22,TRS,NHL,5,,2,3,0,21,,,,4.2,0,1.1,300,,,,,,0,0,0,0
1920,lockhho01,Howard Lockhart,24,TRS,NHL,7,,4,2,0,25,,,,4.84,0,0,310,,,,,,0,0,0,0
1920,lockhho01,Howard Lockhart,24,QBC,NHL,1,,0,1,0,11,,,,11,0,-0.2,60,,,,,,0,,,
1920,mitchiv01,Mike Mitchell,26,TRS,NHL,16,,6,7,0,60,,,,4.34,0,3,830,,,,,,0,0,0,0
1920,mummeha01,Harry Mummery,30,QBC,NHL,3,,1,1,0,18,,,,7.63,0,0.1,142,,,,,,9,9,18,38
1920,vezinge01,Georges Vezina,33,MTL,NHL,24,,13,11,0,113,,,,4.66,0,4.8,1455,,,,,,0,0,0,0
1921,benedcl01,Clint Benedict,28,OTS,NHL,24,,14,10,0,75,,,,3.08,2,5.9,1462,,,,,,0,0,0,0
1921,forbeja01,Jake Forbes,23,TRS,NHL,20,,13,7,0,78,,,,3.83,0,3.9,1221,,,,,,0,0,0,0
1921,lockhho01,Howard Lockhart,25,HAM,NHL,24,,6,18,0,132,,,,5.45,1,1.9,1454,,,,,,0,0,0,0
1921,mitchiv01,Mike Mitchell,27,TRS,NHL,4,,2,2,0,22,,,,5.5,0,0.3,240,,,,,,0,0,0,0
1921,vezinge01,Georges Vezina,34,MTL,NHL,24,,13,11,0,99,,,,4.12,1,4.1,1441,,,,,,0,0,0,0
1922,benedcl01,Clint Benedict,29,OTS,NHL,24,,14,8,2,84,,,,3.34,2,5,1508,,,,,,0,0,0,0
1922,cleghsp01,Sprague Cleghorn,31,MTL,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,17,9,26,80
1922,lockhho01,Howard Lockhart,26,HAM,NHL,24,,6,17,0,103,,,,4.39,0,2.9,1408,,,,,,0,0,0,0
1922,mitchiv01,Mike Mitchell,28,TRS,NHL,2,,2,0,0,6,,,,3,0,0.5,120,,,,,,0,0,0,0
1922,mummeha01,Harry Mummery,32,HAM,NHL,1,,1,0,0,2,,,,2.45,0,0.2,50,,,,,,4,2,6,40
1922,roachjo01,John Ross Roach,21,TRS,NHL,22,,11,10,1,91,,,,4.07,0,3.3,1340,,,,,,0,0,0,0
1922,vezinge01,Georges Vezina,35,MTL,NHL,24,,12,11,1,94,,,,3.84,0,4,1469,,,,,,0,0,0,2
1923,benedcl01,Clint Benedict,30,OTS,NHL,24,,14,9,1,54,,,,2.18,4,6.2,1489,,,,,,0,0,0,2
1923,forbeja01,Jake Forbes,25,HAM,NHL,24,,6,18,0,110,,,,4.49,0,1.2,1470,,,,,,0,0,0,0
1923,roachjo01,John Ross Roach,22,TRS,NHL,24,,13,10,1,88,,,,3.59,1,3.1,1469,,,,,,0,0,0,0
1923,vezinge01,Georges Vezina,36,MTL,NHL,24,,13,9,2,61,,,,2.46,2,5.6,1488,,,,,,0,0,0,0
1924,benedcl01,Clint Benedict,31,OTS,NHL,22,,15,7,0,45,,,,1.99,3,5.2,1356,,,,,,0,0,0,0
1924,forbeja01,Jake Forbes,26,HAM,NHL,24,,9,15,0,68,,,,2.75,1,3.7,1483,,,,,,0,0,0,0
1924,hebersa01,Sammy Hebert,29,OTS,NHL,2,,1,1,0,9,,,,4.5,0,-0.1,120,,,,,,0,0,0,0
1924,lockhho01,Howard Lockhart,28,TRS,NHL,1,,0,1,0,5,,,,5,0,-0.1,60,,,,,,0,0,0,0
1924,roachjo01,John Ross Roach,23,TRS,NHL,23,,10,13,0,80,,,,3.48,1,1.6,1380,,,,,,0,0,0,0
1924,vezinge01,Georges Vezina,37,MTL,NHL,24,,13,11,0,48,,,,1.97,3,5.7,1459,,,,,,0,0,0,0
1925,benedcl01,Clint Benedict,32,MTM,NHL,30,,9,19,2,65,,,,2.12,2,6.2,1843,,,,,,0,0,0,2
1925,clancki01,King Clancy,21,OTS,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,14,8,22,63
1925,conneal01,Alec Connell,22,OTS,NHL,30,,17,12,1,66,,,,2.14,7,6.2,1852,,,,,,0,0,0,2
1925,forbeja01,Jake Forbes,27,HAM,NHL,30,,19,10,1,60,,,,1.96,6,6.7,1834,,,,,,0,0,0,2
1925,fowlehe01,Hec Fowler,32,BOS,NHL,7,,1,6,0,42,,,,6.16,0,-1.8,409,,,,,,0,0,0,0
1925,lockhho01,Howard Lockhart,29,BOS,NHL,2,,0,2,0,11,,,,5.5,0,-0.4,120,,,,,,0,0,0,0
1925,munrodu01,Dunc Munro,24,MTM,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,5,1,6,16
1925,reddige01,George Redding,21,BOS,NHL,1,,0,0,0,1,,,,5.45,0,0,11,,,,,,3,2,5,10
1925,roachjo01,John Ross Roach,24,TRS,NHL,30,,19,11,0,84,,,,2.8,1,3.7,1800,,,,,,0,0,0,0
1925,sprinje01,Jesse Spring,24,HAM,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,2,1,3,11
1925,stewach01,Charles Stewart,29,BOS,NHL,21,,5,16,0,65,,,,3.08,2,1.9,1266,,,,,,0,0,0,0
1925,vezinge01,Georges Vezina,38,MTL,NHL,30,,17,11,2,56,,,,1.81,5,7.4,1860,,,,,,0,0,0,0
1926,benedcl01,Clint Benedict,33,MTM,NHL,36,,20,11,5,73,,,,1.92,6,7.6,2286,,,,,,0,0,0,0
1926,cleghod01,Odie Cleghorn,34,PTP,NHL,1,,1,0,0,2,,,,2,0,0.2,60,,,,,,2,1,3,4
1926,conneal01,Alec Connell,23,OTS,NHL,36,,24,8,4,42,,,,1.12,15,11.1,2251,,,,,,0,0,0,0
1926,forbeja01,Jake Forbes,28,NYA,NHL,36,,12,20,4,86,,,,2.3,2,5.6,2240,,,,,,0,0,0,0
1926,ironsjo01,Joe Ironstone,27,NYA,NHL,1,,0,0,0,3,,,,4.5,0,-0.1,40,,,,,,0,0,0,0
1926,lacrofr01,Frenchy Lacroix,28,MTL,NHL,5,,1,4,0,16,,,,3.43,0,0.1,280,,,,,,0,0,0,0
1926,rheauhe01,Herb Rheaume,26,MTL,NHL,31,,10,20,1,92,,,,2.93,0,2.3,1887,,,,,,0,0,0,0
1926,roachjo01,John Ross Roach,25,TRS,NHL,36,,12,21,3,114,,,,3.07,2,2.1,2230,,,,,,0,0,0,0
1926,robermo01,Moe Roberts,20,BOS,NHL,2,,1,1,0,5,,,,3.53,0,0,85,,,,,,0,0,0,0
1926,stewach01,Charles Stewart,30,BOS,NHL,35,,16,14,4,80,,,,2.21,6,5.9,2172,,,,,,0,0,0,0
1926,vezinge01,Georges Vezina,39,MTL,NHL,1,,0,0,0,0,,,,0,0,0.1,20,,,,,,0,0,0,0
1926,wortero01,Roy Worters,25,PTP,NHL,35,,18,16,1,68,,,,1.9,7,7.2,2145,,,,,,0,0,0,0
1927,benedcl01,Clint Benedict,34,MTM,NHL,43,,20,19,4,65,,,,1.42,13,10.5,2747,,,,,,0,0,0,0
