Name,Year,Salary
Justin Abdelkader,2009,710000
Justin Abdelkader,2010,750000
Justin Abdelkader,2011,825000
Justin Abdelkader,2012,819512
Justin Abdelkader,2013,1550000
Justin Abdelkader,2014,2000000
Justin Abdelkader,2015,2250000
Justin Abdelkader,2016,5500000
Justin Abdelkader,2017,5000000
Justin Abdelkader,2018,5000000
Justin Abdelkader,2019,4750000
Justin Abdelkader,2020,1055556
Justin Abdelkader,2021,1055556
Justin Abdelkader,2022,1055556
Justin Abdelkader,2023,1055556
Justin Abdelkader,2024,1055556
Justin Abdelkader,2025,1055556
Pontus Aberg,2017,650000
Pontus Aberg,2018,650000
Pontus Aberg,2020,608000
Pontus Aberg,2021,750000
Noel Acciari,2017,700000
Noel Acciari,2018,750000
Noel Acciari,2019,2000000
Noel Acciari,2020,1500000
Noel Acciari,2021,1500000
Noel Acciari,2022,1250000
Kenny Agostino,2016,625000
Kenny Agostino,2018,700000
Kenny Agostino,2021,486111
Kenny Agostino,2022,0
Mark Alt,2017,650000
Mark Alt,2018,700000
Mark Alt,2020,700000
Karl Alzner,2010,875000
Karl Alzner,2011,1300000
Karl Alzner,2012,743415
Karl Alzner,2013,2800000
Karl Alzner,2014,2800000
Karl Alzner,2015,2800000
Karl Alzner,2016,2800000
Karl Alzner,2017,6000000
Karl Alzner,2018,6000000
Karl Alzner,2019,4625000
Michael Amadio,2017,742500
Michael Amadio,2019,700000
Michael Amadio,2020,700000
Michael Amadio,2021,750000
Michael Amadio,2022,750000
Michael Amadio,2023,775000
Josh Anderson,2016,700000
Josh Anderson,2017,1600000
Josh Anderson,2018,1850000
Josh Anderson,2019,2100000
Josh Anderson,2020,4000000
Josh Anderson,2021,4000000
Josh Anderson,2022,6100000
Josh Anderson,2023,6100000
Josh Anderson,2024,6100000
Josh Anderson,2025,6100000
Josh Anderson,2026,6100000
Lias Andersson,2017,925000
Lias Andersson,2018,925000
Lias Andersson,2019,832500
Lias Andersson,2020,832500
Lias Andersson,2021,874125
Lias Andersson,2022,750000
Rasmus Andersson,2017,742500
Rasmus Andersson,2018,750000
Rasmus Andersson,2019,775000
