 Shane Lechler
 Drew Brees
 Steve Smith
 Tom Brady
 Adam Vinatieri
 Phil Dawson
 Sebastian Janikowski
 Dwight Freeney
 James Harrison
 Julius Peppers
 Matt Bryant
 Josh McCown
 Shaun Hill
 Terence Newman
 Robert Mathis
 Terrell Suggs
 Antonio Gates
 Anquan Boldin
 Jason Witten
 Carson Palmer
 Karlos Dansby
 Antonio Smith
 Daryl Smith
 Vince Wilfork
 DeAngelo Hall
 Mike Adams
 Benjamin Watson
 Cullen Jenkins
 Donnie Jones
 Luke McCown
 Andy Lee
 Eli Manning
 Ben Roethlisberger
 Larry Fitzgerald
 Philip Rivers
 Derek Anderson
 Ryan Fitzpatrick
 Dan Orlovsky
 Frank Gore
 Adam Jones
 Matt Cassel
 Dustin Colquitt
 Alex Smith
 Aaron Rodgers
 Darren Sproles
 Robbie Gould
 Vincent Jackson
 Trent Cole
 Thomas Davis
 Nick Novak
 Jonathan Babineaux
 Donte Whitner
 Delanie Walker
 Anthony Fasano
 Stephen Gostkowski
 Vernon Davis
 Frostee Rucker
 John Kuhn
 Devin Hester
 DeAngelo Williams
 Kyle Williams
 Johnathan Joseph
 Tamba Hali
 Domata Peko
 Chad Greenway
 Ahmad Brooks
 Tony McDaniel
 Darryl Tapp
 Will Blackmon
 Mario Williams
 Tramon Williams
 Kedric Golston
 Antoine Bethea
 Rob Ninkovich
 Elvis Dumervil
 Stephen Tulloch
 Roman Harper
 Lorenzo Alexander
 Haloti Ngata
 Marcedes Lewis
 D'Qwell Jackson
 Sam Koch
 Kellen Clemens
 Reggie Bush
 Jon Ryan
 Brandon Marshall
 Jay Cutler
 Marshawn Lynch
 Matt Moore
 Dashon Goldson
 Matt Prater
 Mason Crosby
 Brent Grimes
 Darrelle Revis
 Ted Ginn
 Eric Weddle
 Brian Robison
 Corey Graham
 Nick Folk
 Derrick Johnson
 Charles Johnson
 Jason Trusnik
 Reggie Nelson
 Eric Weems
 Michael Griffin
 Leon Hall
 Greg Olsen
 Brent Celek
 Lawrence Timmons
 William Gay
 Alan Branch
 David Harris
 Brandon Mebane
 Paul Posluszny
 Justin Durant
 Paul Soliai
 Calais Campbell
 Orlando Scandrick
 Brandon Carr
 Mike Jenkins
 Ahtyba Rubin
 Dan Carpenter
 Erik Walden
 Dwight Lowery
 Brandon Flowers
 James Ihedigbo
 Glenn Dorsey
 Steven Hauschka
 Kendall Langford
 Wallace Gilberry
 Dominique Rodgers-Cromartie
 Tyvon Branch
 Philip Wheeler
 Chris Long
 Matt Forte
 Darren McFadden
 Jacob Tamme
 Martellus Bennett
 Harry Douglas
 Gary Barnidge
 Jonathan Stewart
 Justin Forsett
 Tim Hightower
 Steve Johnson
 Pierre Garcon
 Josh Johnson
 Marcel Reece
 Eddie Royal
 Jerome Felton
 Drew Stanton
 Chris Johnson
 DeSean Jackson
 Matt Ryan
 Chad Henne
 Joe Flacco
 Wesley Woodyard
 Letroy Guion
 Tracy Porter
 Pat Sims
 Cliff Avril
 Aqib Talib
 Leodis McKelvin
 Leger Douzable
 Brett Kern
 William Hayes
 Connor Barth
 Kellen Davis
 Jordy Nelson
 Mike Tolbert
 Jamaal Charles
 Matthew Slater
 Erin Henderson
 Quintin Demps
 Glover Quin
 Darrius Heyward-Bey
 Kevin Huber
 Michael Crabtree
 Brandon Tate
 Brandon Myers
 LeSean McCoy
 Danny Woodhead
 John Phillips
 Cedric Peerman
 Kenny Britt
 Julian Edelman
 Jordan Norwood
 Rashad Johnson
 Jared Cook
 Percy Harvin
 Matthew Mulligan
 David Johnson
 Zach Miller
 Rashad Jennings
 Brian Orakpo
 Greg Toler
 Roy Miller
 Robert Ayers
 Mike Wallace
 Jonathan Casillas
 Danny Amendola
 Chase Daniel
 Jerraud Powers
 Darius Butler
 Desmond Bryant
 Cameron Wake
 Vontae Davis
 Captain Munnerlyn
 Dan Skuta
 Mike Mitchell
 Ziggy Hood
 Sean Smith
 Jeremy Maclin
 Matthew Stafford
 Mark Sanchez
 Brian Hoyer
 Britton Colquitt
 Sen'Derrick Marks
 Lardarius Webb
 Jason McCourty
 Jamarca Sanford
 Ramon Humber
 Graham Gano
 Clay Matthews
 Rey Maualuga
 Ryan Succop
 Paul Kruger
 Patrick Chung
 Vance Walker
 Dannell Ellerbe
 Malcolm Jenkins
 Thomas Morstead
 Brice McCain
 DeAndre Levy
 Kyle Arrington
