Name,Year,Salary
Peyton Manning,1998,11744000
Peyton Manning,1999,1430000
Peyton Manning,2000,11066000
Peyton Manning,2001,4452000
Peyton Manning,2002,6298000
Peyton Manning,2003,11324000
Peyton Manning,2004,35035000
Peyton Manning,2005,665000
Peyton Manning,2006,10000000
Peyton Manning,2007,11000000
Peyton Manning,2008,11500000
Peyton Manning,2009,14000000
Peyton Manning,2010,15800000
Peyton Manning,2011,26400000
Peyton Manning,2012,18000000
Peyton Manning,2013,25000000
Peyton Manning,2014,15000000
Peyton Manning,2015,19000000
Von Miller,2011,14148000
Von Miller,2012,1329563
Von Miller,2013,1477963
Von Miller,2014,3238688
Von Miller,2015,9754000
Von Miller,2016,25500000
Von Miller,2017,16500000
Von Miller,2018,19000000
Von Miller,2019,17500000
Von Miller,2020,18000000
Von Miller,2021,722222
Von Miller,2022,20000000
Von Miller,2023,15000000
Von Miller,2024,17500000
Von Miller,2025,17500000
Von Miller,2026,20000000
Von Miller,2027,30000000
Ryan Clady,2008,1713000
Ryan Clady,2009,8027500
Ryan Clady,2010,1020000
Ryan Clady,2011,1105000
Ryan Clady,2012,3500000
Ryan Clady,2013,15000000
Ryan Clady,2014,8000000
Ryan Clady,2015,10000000
Ryan Clady,2016,5562500
Champ Bailey,1999,5792000
Champ Bailey,2000,801000
Champ Bailey,2001,1235000
Champ Bailey,2002,1669000
Champ Bailey,2003,2103000
Champ Bailey,2004,7509150
Champ Bailey,2005,7507625
Champ Bailey,2006,12006100
Champ Bailey,2007,6004575
Champ Bailey,2008,8003050
Champ Bailey,2009,9001525
Champ Bailey,2010,13000000
Champ Bailey,2011,11000000
Champ Bailey,2012,11250000
Champ Bailey,2013,10750000
Aaron Brewer,2012,394000
Aaron Brewer,2013,480000
Aaron Brewer,2014,570000
Aaron Brewer,2015,1400000
Aaron Brewer,2016,625882
Aaron Brewer,2017,775000
Aaron Brewer,2018,1115000
Aaron Brewer,2019,980000
Aaron Brewer,2020,1100000
Aaron Brewer,2021,1175000
Aaron Brewer,2022,1120000
Andre Caldwell,2012,900000
Andre Caldwell,2013,900000
Andre Caldwell,2014,1350000
Andre Caldwell,2015,1350000
Brandon Stokley,2013,391765
Brock Osweiler,2012,1387584
Brock Osweiler,2013,549849
Brock Osweiler,2014,709698
Brock Osweiler,2015,869547
Brock Osweiler,2016,21000000
Brock Osweiler,2017,775000
Brock Osweiler,2018,880000
Chris Harris Jr.,2011,377000
Chris Harris Jr.,2012,465000
Chris Harris Jr.,2013,555000
Chris Harris Jr.,2014,12187000
Chris Harris Jr.,2015,1000000
Chris Harris Jr.,2016,7000000
